Spanisch,Deutsch
nuevo ,neu 
sido ,gewesen 
cosa ,Sachen 
hijo ,Sohn 
allí ,da drüben 
menos ,weniger 
tipo ,Kerl 
amigo ,Freund 
gran ,Großartig 
nuestro ,unser 
mujer ,Frauen 
mamá ,Mutter 
luego ,Dann 
papá ,Papa 
días ,Tage 
dice ,sagt 
hoy ,Heute 
tres ,drei 
buena ,Gut 
necesito ,brauchen 
dije ,sagte 
oye ,Hey 
gusta ,wie 
quería ,wollte 
será ,wird sein 
haber ,haben 
parte ,Teil 
todas ,alle 
crees ,Glaubst du? 
buen ,Gut 
conmigo ,mit mir 
nombre ,Name 
mierda ,Scheiße 
nuestra ,unser 
mal ,teuflisch 
debe ,muss 
realmente ,Wirklich 
estas ,Sind 
aún ,Trotzdem 
mío ,meins 
toda ,alle 
hacerlo ,Mach es 
cada ,jede 
visto ,gesehen 
importa ,Angelegenheiten 
contigo ,mit dir 
tienen ,haben 
hemos ,wir haben 
razón ,Grund 
alguna ,manche 
tanto ,so viel 
saber ,wissen 
hizo ,tat 
veces ,mal 
serio ,Ernst 
ven ,kommen 
idea ,Idee 
eh ,Hey 
tarde ,spät 
problema ,Problem 
hora ,Stunde 
cierto ,WAHR 
dicho ,Sprichwort 
quien ,WHO 
demasiado ,zu viel 
amor ,Liebe 
entre ,zwischen 
ve ,gehen 
pasado ,Vergangenheit 
familia ,Familie 
estos ,diese 
policía ,Polizei 
debería ,sollte 
ustedes ,Du 
chica ,Mädchen 
esos ,diese 
chicos ,Jungs 
cuenta ,Konto 
haces ,du tust 
todavía ,Trotzdem 
salir ,hinausgehen 
algún ,manche 
vaya ,Oh 
unos ,manche 
veo ,Ich verstehe 
amigos ,Freunde 
hermano ,Bruder 
pensé ,Dachte ich 
sabía ,wusste 
cabeza ,Kopf 
ah ,Oh 
cariño ,Liebling 
digo ,sagen 
van ,sie gehen 
hombres ,Männer 
buenas ,Hallo gut 
somos ,Sind 
cualquier ,beliebig 
forma ,Form 
mientras ,während 
lado ,Seite 
debo ,Ich muss 
sería ,Ich wäre 
caso ,Fall 
pueden ,sie können 
pasó ,bestanden 
primera ,Erste 
genial ,brillant 
chico ,Junge 
supuesto ,angeblich 
hice ,Das habe ich getan 
pues ,Also 
adiós ,Tschüss 
muchas ,viele 
personas ,Menschen 
señora ,Dame 
volver ,zurückkehren 
esas ,diese 
quizá ,Vielleicht 
contra ,gegen 
camino ,Weg 
durante ,während 
hablando ,reden 
manera ,Benehmen 
muerto ,tot 
persona ,Person 
rápido ,schnell 
cuál ,welche 
ayuda ,Hilfe 
historia ,Geschichte 
iba ,ging 
supongo ,ich schätze 
nueva ,neu 
entiendo ,Ich verstehe 
dentro ,innen 
casi ,fast 
puerta ,Tür 
ves ,Du siehst 
pasar ,passieren 
primero ,Erste 
significa ,bedeutet 
semana ,Woche 
hacia ,zu 
quizás ,Vielleicht 
espero ,Warten 
juntos ,zusammen 
año ,Jahr 
niños ,Kinder 
pronto ,bald 
tío ,Onkel 
suerte ,Glück 
ciudad ,Stadt 
siquiera ,sogar 
feliz ,Glücklich 
venir ,kommen 
hija ,Tochter 
gustaría ,Ich möchte 
minutos ,Minuten 
cuánto ,wie viel 
os ,Du 
hey ,Hey 
muerte ,Tod 
dejar ,verlassen 
realidad ,Wirklichkeit 
deja ,Blätter 
problemas ,Probleme 
vi ,Ich habe es gesehen 
da ,da 
importante ,wichtig 
dijiste ,du sagtest 
corazón ,Herz 
miedo ,Furcht 
jefe ,Chef 
agua ,Wasser 
haré ,Ich werde es tun 
justo ,gerecht 
horas ,Std. 
poder ,dürfen 
buenos ,Gut 
esposa ,Gattin 
manos ,Hände 
debes ,du musst 
viene ,kommt 
venga ,kommen 
nuestros ,unser 
ojos ,Augen 
adelante ,nach vorne 
encontrar ,finden 
mano ,Hand 
cinco ,fünf 
niño ,Kind 
ninguna ,keiner 
otros ,andere 
cara ,Gesicht 
cuidado ,vorsichtig 
bajo ,niedrig 
cerca ,nahe 
viejo ,alt 
déjame ,lass mich 
noches ,Nächte 
bastante ,ganz 
fin ,Ende 
tomar ,nehmen 
único ,nur 
misma ,Dasselbe 
escucha ,Hören 
ningún ,keiner 
suficiente ,genug 
punto ,Stelle 
cuándo ,Wann 
sigue ,mach weiter 
haya ,Ist 
equipo ,Ausrüstung 
grande ,groß 
necesita ,Bedürfnisse 
llegar ,ankommen 
incluso ,sogar 
algunos ,manche 
doctor ,Arzt 
difícil ,schwierig 
aunque ,Obwohl 
hubiera ,hatte 
primer ,Erste 
coche ,Auto 
hago ,Tun 
clase ,Klasse 
cuatro ,vier 
mas ,weiter 
dices ,sagst du 
pequeño ,wenig 
llama ,Anrufe 
toma ,nehmen 
hiciste ,Das hast du getan 
allá ,Dort 
última ,zuletzt 
arriba ,über 
tierra ,Land 
guerra ,Krieg 
pensar ,denken 
pueda ,dürfen 
igual ,gleich 
loco ,verrückt 
sangre ,Blut 
mujeres ,Frauen 
vuelta ,Schoß 
fui ,Ich ging 
trabajar ,arbeiten 
tenido ,hatte 
juego ,Spiel 
deberías ,Du solltest 
cuerpo ,Körper 
e ,Und 
algunas ,manche 
entrar ,eingeben 
cree ,glauben 
podía ,könnte 
debemos ,muss 
oportunidad ,Chance 
teléfono ,Telefon 
necesitamos ,brauchen 
final ,Ende 
listo ,bereit 
fiesta ,Party 
muchos ,viele 
estabas ,Du warst 
quieren ,sie wollen 
vete ,Geh weg 
auto ,Auto 
dar ,geben 
vivir ,live 
posible ,möglich 
ok ,OK 
hermana ,Schwester 
número ,Nummer 
meses ,Monate 
exactamente ,genau 
culpa ,beschuldigen 
abajo ,unten 
escuela ,Schule 
ido ,gegangen 
fuerte ,stark 
diciendo ,Sprichwort 
habla ,spricht 
esté ,Das 
ello ,Es 
pregunta ,fragen 
chicas ,Mädchen 
eran ,war 
unas ,Nägel 
pasando ,vorbei 
atrás ,zurück 
malo ,schlecht 
capitán ,Kapitän 
sra. ,Frau 
bebé ,Baby 
segundo ,zweite 
sabemos ,wir wissen es 
mayor ,ältere Menschen 
comida ,Mahlzeit 
morir ,sterben 
conozco ,wissen 
dame ,Gib mir 
fácil ,einfach 
comer ,essen 
vino ,kam 
lista ,Liste 
haga ,Tun 
necesitas ,Du brauchst 
hijos ,Kinder 
probablemente ,wahrscheinlich 
padres ,Eltern 
habitación ,Zimmer 
creer ,glauben 
pensando ,Denken 
fueron ,war 
dime ,Sag mir 
trata ,Leckereien 
buscando ,suchen 
tuve ,Ich hatte 
tampoco ,weder 
amo ,Liebe 
joven ,jung 
podrías ,könnten Sie 
sola ,allein 
par ,Paar 
única ,einzigartig 
hacen ,Tun 
seguir ,weitermachen 
dr. ,Dr. 
simplemente ,einfach 
dicen ,sagen sie 
medio ,Hälfte 
puta ,Hündin 
saben ,Sie wissen es 
sentido ,Sinn 
hagas ,Tun 
segura ,sicher 
esperar ,Warten 
lejos ,weit 
arma ,Waffe 
alto ,hoch 
pequeña ,klein 
dólares ,Dollar 
seis ,sechs 
estaban ,war 
seguridad ,Sicherheit 
maldita ,verdammt 
estuvo ,War 
preocupes ,Sorge 
palabra ,Wort 
esperando ,erwarten 
queda ,bleibt übrig 
oficina ,Büro 
matar ,töten 
iré ,Ich werde gehen 
cama ,Bett 
además ,außerdem 
último ,zuletzt 
oído ,Ohr 
habría ,würde es geben 
estará ,wird sein 
dio ,gab 
recuerdo ,Erinnerung 
siendo ,Sein 
acerca ,um 
tenga ,haben 
luz ,Licht 
correcto ,richtig 
ud. ,Du. 
demonios ,Dämonen 
nuestras ,unser 
verte ,Wir sehen uns 
dormir ,schlafen 
sitio ,Ort 
ayudar ,helfen 
conseguir ,erhalten 
di ,sagen 
marido ,Ehemann 
paz ,Frieden 
idiota ,Idiot 
plan ,planen 
dado ,gegeben 
cuanto ,wie viel 
peor ,schlechter 
murió ,gestorben 
pueblo ,Stadt 
vivo ,lebendig 
venido ,kommen 
john ,John 
basta ,Genug 
paso ,bestanden 
deberíamos ,wir sollten 
música ,Musik 
diga ,sagen 
minuto ,Minute 
anoche ,letzte Nacht 
llamar ,Anruf 
piensa ,denken 
país ,Land 
digas ,sagen 
rey ,König 
perdón ,Entschuldigung 
mucha ,eine Menge 
falta ,Mangel 
pienso ,Ich finde 
diablos ,Teufel 
perdido ,verloren 
niña ,kleines Mädchen 
señorita ,Vermissen 
diez ,zehn 
lleva ,tragen 
hospital ,Krankenhaus 
grandes ,groß 
maldito ,verdammt 
otras ,andere 
llamado ,angerufen 
hacemos ,das tun wir 
llevar ,tragen 
fuego ,Feuer 
aqui ,Hier 
tuvo ,hatte 
poner ,setzen 
calle ,Straße 
acaba ,endet 
prueba ,nachweisen 
increíble ,unglaublich 
real ,real 
libro ,Buch 
orden ,Befehl 
semanas ,Wochen 
especial ,besonders 
mía ,meins 
café ,Kaffee 
duro ,hart 
empezar ,beginnen 
afuera ,draußen 
queremos ,wir wollen 
perro ,Hund 
cielo ,Schatz 
jack ,Jack 
puesto ,Position 
viaje ,Reise 
detrás ,hinter 
cuarto ,Zimmer 
querida ,Liebling 
haría ,würde 
preguntas ,Fragen 
piensas ,du denkst 
querido ,Schatz 
libre ,frei 
buscar ,suchen 
cual ,welche 
diré ,Ich werde sagen 
suena ,Geräusche 
jugar ,spielen 
cambio ,ändern 
película ,Film 
millones ,Million 
habrá ,es wird sein 
llamada ,Anruf 
resto ,ausruhen 
vemos ,wir sehen 
extraño ,seltsam 
mala ,schlecht 
presidente ,Präsident 
srta. ,MS. 
irme ,verlassen 
ropa ,Kleidung 
perder ,verlieren 
vuelve ,kommt zurück 
agente ,Agent 
palabras ,Worte 
información ,Information 
raro ,seltsam 
hará ,Wille 
entiendes ,Du verstehst 
éste ,Das 
trabajando ,Arbeiten 
tratando ,behandeln 
general ,allgemein 
trato ,handeln 
usar ,tragen 
perfecto ,perfekt 
derecho ,Rechts 
modo ,Modus 
ayer ,gestern 
conoces ,Du weisst 
demás ,andere 
quieras ,du willst 
podríamos ,wir konnten 
noticias ,Nachricht 
asesino ,Killer 
encontrado ,gefunden 
control ,Kontrolle 
odio ,hassen 
frente ,Stirn 
sexo ,Sex 
decirle ,erzählen 
estaré ,Ich werde es sein 
divertido ,Spaß 
armas ,Waffen 
recuerdas ,erinnerst du dich 
amiga ,Freund 
grupo ,Cluster 
asunto ,Affäre 
acabo ,Nur 
mensaje ,Nachricht 
encima ,An 
atención ,Aufmerksamkeit 
diferente ,anders 
uh ,Äh 
cállate ,ruhig sein 
daño ,Schaden 
sucede ,passiert 
cambiar ,ändern 
siguiente ,folgende 
sino ,Aber 
the ,Die 
seas ,Sei 
médico ,Arzt 
boca ,Mund 
dejó ,lassen 
error ,Fehler 
jamás ,niemals 
largo ,lang 
pena ,Kummer 
voz ,Stimme 
futuro ,Zukunft 
siente ,fühlen 
secreto ,Geheimnis 
baño ,Badezimmer 
mil ,tausend 
decirte ,Sag es dir 
sam ,Sam 
pensaba ,Gedanke 
novia ,Braut 
propia ,eigen 
sueño ,Traum 
haz ,Strahl 
fuerza ,Gewalt 
deben ,sie müssen 
supone ,vermutet 
estábamos ,wir waren 
ambos ,beide 
ay ,Oh 
estuve ,Ich war 
encontré ,Ich habe gefunden 
vuelto ,drehte sich um 
dolor ,Schmerz 
dile ,Sag es ihm 
encanta ,liebt 
edad ,Alter 
darle ,geben 
pie ,Fuß 
negro ,Schwarz 
ganar ,gewinnen 
york ,York 
aire ,Luft 
lamento ,Klage 
verlo ,sehen Sie es 
asesinato ,Mord 
vio ,gesehen 
adónde ,wohin 
llegado ,angekommen 
disculpe ,Verzeihung 
s ,Ja 
cita ,Termin 
estaría ,wäre 
fuiste ,Du bist gegangen 
sistema ,System 
gusto ,schmecken 
pobre ,arm 
negocio ,Geschäft 
mente ,Geist 
tuyo ,dein 
campo ,Feld 
mire ,Suchen 
situación ,Situation 
tras ,nach 
hotel ,Hotel 
vosotros ,Du 
funciona ,funktioniert 
foto ,Foto 
abogado ,Rechtsanwalt 
loca ,verrückt 
propio ,eigen 
alrededor ,um 
próxima ,nächste 
terminado ,fertig 
hablas ,sprechen 
pagar ,zahlen 
mató ,getötet 
llamo ,angerufen 
personal ,Personal 
sientes ,Du fühlst 
ocurre ,auftritt 
ésta ,Das 
recuerda ,erinnern 
mitad ,Hälfte 
quiera ,wollen 
pelo ,Haar 
tenías ,Du hattest 
viste ,Du hast es gesehen 
oficial ,offiziell 
llegó ,ankommen 
compañía ,Unternehmen 
relación ,Beziehung 
conoce ,wissen 
pase ,passiert 
montón ,viel 
mejores ,am besten 
creí ,Ich habe geglaubt 
cena ,Abendessen 
sentir ,fühlen 
través ,durch 
accidente ,Unfall 
i ,Yo 
ellas ,Sie 
caja ,Kasten 
tranquilo ,Mach dir keine Sorgen 
bonito ,hübsch 
eras ,Du warst 
asi ,Also 
pudo ,könnte 
vive ,lebt 
vista ,Sicht 
estúpido ,Idiot 
línea ,Linie 
caballeros ,Herren 
haremos ,wir werden es tun 
dan ,geben 
quédate ,bleiben 
tienda ,speichern 
comprar ,kaufen 
entendido ,verstanden 
centro ,Center 
salvo ,außer 
mes ,Monat 
joe ,Joe 
sol ,Sonne 
tonto ,dumm 
hambre ,Hunger 
michael ,Michael 
mesa ,Tisch 
respuesta ,Antwort 
completamente ,vollständig 
david ,David 
carta ,Brief 
totalmente ,vollständig 
imposible ,unmöglich 
pruebas ,Beweis 
novio ,Freund 
normal ,Normal 
gustan ,wie 
frank ,frank 
pude ,könnte 
charlie ,Charlie 
traje ,Anzug 
dirección ,Adresse 
siete ,Sieben 
dijeron ,sagten sie 
placer ,Vergnügen 
sean ,Sei 
tendrá ,wird haben 
barco ,Schiff 
blanco ,Weiß 
tom ,Tom 
profesor ,Lehrer 
servicio ,Service 
muchacho ,junger Kerl 
reunión ,treffen 
dejado ,links 
ley ,Gesetz 
quisiera ,Ich würde gerne 
hubo ,War 
george ,george 
programa ,Programm 
carrera ,Karriere 
cumpleaños ,Geburtstag 
muchachos ,Jungs 
culo ,Arsch 
canción ,Lied 
hermosa ,Schön 
universidad ,Universität 
boda ,Hochzeit 
decirme ,Sag mir 
cualquiera ,beliebig 
tengas ,haben 
hacía ,zu 
estés ,du bist 
sala ,Saal 
llevo ,er nahm 
decisión ,Entscheidung 
espere ,Warten 
don ,Geschenk 
necesario ,notwendig 
sal ,Salz 
entra ,eingeben 
prisa ,beeil dich 
carajo ,Scheiße 
embargo ,Embargo 
interesante ,interessant 
tendrás ,Du wirst haben 
escuchar ,hören 
abuela ,Großmutter 
hicieron ,Das haben sie getan 
detective ,Detektiv 
horrible ,schrecklich 
suelo ,Boden 
fotos ,Fotos 
cárcel ,Gefängnis 
acá ,Hier 
io ,io 
mike ,Mikrofon 
siéntate ,sitzen 
decía ,sagte 
intentando ,versuchen 
vámonos ,lass uns gehen 
maldición ,Fluch 
silencio ,Schweigen 
muerta ,tot 
capaz ,fähig 
salió ,kam heraus 
club ,Verein 
terminar ,beenden 
temo ,Ich fürchte 
broma ,Witz 
gobierno ,Regierung 
prometo ,Ich verspreche es 
cámara ,Kamera 
media ,Durchschnitt 
terrible ,schrecklich 
llamó ,angerufen 
regalo ,Geschenk 
amable ,sanft 
dulce ,süß 
muertos ,tot 
querías ,du wolltest 
ataque ,Schlaganfall 
das ,geben 
navidad ,Weihnachten 
negocios ,Geschäft 
pudiera ,könnte 
ocho ,acht 
avión ,Flugzeug 
investigación ,Untersuchung 
acabó ,Nur 
juro ,Ich schwöre 
mantener ,halten 
ejército ,Armee 
papel ,Papier 
partes ,Teile 
ten ,haben 
gracioso ,lustig 
diría ,Ich würde sagen 
principio ,Prinzip 
delante ,vor 
teniente ,Leutnant 
deseo ,Wunsch 
vayas ,gehen 
nave ,Kirchenschiff 
sale ,kommt heraus 
basura ,Müll 
vine ,Ich bin gekommen 
contacto ,Kontakt 
esposo ,Ehemann 
tren ,Zug 
encontramos ,wir finden 
dale ,gib es 
verdadero ,WAHR 
tuya ,dein 
alma ,Seele 
hazlo ,Mach es 
disculpa ,Entschuldigung 
junto ,zusammen 
anda ,gehen 
tendré ,Ich werde haben 
matrimonio ,Hochzeit 
saberlo ,weiß es 
locura ,Verrücktheit 
oro ,Gold 
permiso ,Erlaubnis 
director ,Direktor 
peligro ,Gefahr 
libertad ,Freiheit 
alegro ,froh 
baja ,niedrig 
tendremos ,wir werden haben 
derecha ,Rechts 
encuentra ,findet 
pies ,Füße 
segunda ,zweite 
maravilloso ,wunderbar 
espacio ,Raum 
rato ,eine Weile 
abuelo ,Großvater 
esperaba ,Ich hoffte 
mirando ,suchen 
salud ,Gesundheit 
sorpresa ,Überraschung 
ninguno ,keiner 
miren ,sehen 
triste ,traurig 
aun ,Trotzdem 
pensado ,Gedanke 
maestro ,Lehrer 
según ,entsprechend 
infierno ,Hölle 
podrían ,könnte 
tipos ,Jungs 
tía ,Tante 
crimen ,Verbrechen 
conocido ,Bekanntschaft 
consejo ,Beratung 
ante ,im Hinblick auf 
iglesia ,Kirche 
